"sourceId","market","propertyName","area","sourceStatus","confidence","outreachPriority","priorityTier","shortlistRank","otaPresence","suggestedAcquisitionPath","acquisitionPath","bookingComUrl","agodaUrl","officialSiteUrl","directContact","nextOutreachAction","priorityRationale","sharetribeListingCreated","collections","stayType","fitNotes"
"HAK-SRC-011","hakone","Rakuten STAY Villa Hakone Sengokuhara","Sengokuhara","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","onsen-retreats","villa","Strategically attractive multi-unit operator if direct onboarding path exists."
"KAM-SRC-001","kamakura","Kamakura Cocon","Nikaido, Kamakura","sourced","high","high","tier-1-first-wave","1","low-ota-direct-first","concierge-first","","","","","phone: 0467-81-4435 | address: 836 Nikaido, Kamakura | contactPage: Official site","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","Very high brand fit, verified traditional-home story, tiny inventory, and clear contact path.","false","coastal-culture","machiya","Very high brand fit and one of the best Kamakura targets."
"KAM-SRC-002","kamakura","Villa Sacra","Kamakura","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","coastal-culture","villa","Potential Kamakura target pending official verification."
"KAM-SRC-003","kamakura","Guesthouse SHIBAFU","Kamakura","pending-verification","pending","hold","","","low-ota-direct-first","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","coastal-culture","minshuku","Potential Kamakura guesthouse target pending official verification."
"KAM-SRC-004","kamakura","IZA Kamakura Guesthouse","Kamakura","pending-verification","pending","hold","","","low-ota-direct-first","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","coastal-culture","minshuku","Potential Kamakura guesthouse target pending official verification."
"NIK-SRC-001","nikko","Turtle Inn Nikko","Nikko","sourced","high","high","","","","needs-ota-check","","","","","phone: +81-288-53-3168 | address: 2-16 Takumi-cho, Nikko | contactPage: Official site","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","minshuku","High-confidence simple, foreigner-readable Nikko inventory."
"NIK-SRC-002","nikko","Annex Turtle HOTORI-AN","Nikko","sourced","high","high","","","","needs-ota-check","","","","","phone: +81-288-53-3663 | address: 8-28 Takumi-cho, Nikko | contactPage: Official inquiry page","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","ryokan","High-confidence sourced supply and stronger than generic guesthouse inventory."
"NIK-SRC-003","nikko","STAY Nikko Guesthouse","Nikko","sourced","high","high","tier-1-first-wave","2","","needs-ota-check","","","","","phone: 0288-25-5303 | email: tnk2015@staynikko.com | address: 2-360-13 Inarimachi, Nikko | contactPage: Official English pages","Confirm OTA presence, then contact STAY Nikko about onboarding multiple unit types.","Verified email and phone, multi-unit micro-operator, and already structured like marketplace supply.","false","temple-town-stays","villa","High-confidence multi-unit micro-operator with Moon Villa, Loft Villa, Mini Loft Villa, and Japanese-style rental house."
"NIK-SRC-004","nikko","Nikko Park Lodge","Nikko","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","temple-town-stays","minshuku","Potential Nikko target pending official verification."
"NIK-SRC-005","nikko","Nikko Hoshinoyado","Nikko","pending-verification","pending","hold","","","","verification-first","","","","","","Confirm official site, direct contact, and active booking path before outreach.","","false","temple-town-stays","ryokan","Potential Nikko target pending official verification."
"CHI-SRC-001","chiba","Narita Sando Guesthouse","Narita, Chiba","sourced","high","high","tier-1-first-wave","5","","needs-ota-check","","","","","phone: +81 476-37-8088 | email: naritasando@gmail.com | line: @naritasando | address: 520-2 Kamicho, Narita | contactPage: Booking page and public profile","Confirm OTA presence, then contact by direct email or phone for soft-arrival positioning.","Verified contact details, highly usable Narita soft-landing supply, and strong first/last-night fit.","false","quiet-arrival","minshuku","High-confidence soft landing / first or last night fit."
"CHI-SRC-002","chiba","Wakamatsu Honten","Narita, Chiba","sourced","high","high","tier-1-first-wave","12","","needs-ota-check","","","","","address: 355 Honcho, Narita | contactPage: Narita tourism and booking references","Confirm OTA presence, then contact around Naritasan temple-front positioning.","Distinctive Narita temple setting and stronger MyYado fit than generic airport hotels.","false","quiet-arrival","ryokan","High-confidence sourced supply and stronger MyYado fit than a generic airport hotel."
"CHI-SRC-003","chiba","Meet Inn Narita","Narita, Chiba","sourced","high","medium","tier-2-second-wave","","high-probability-booking-agoda","ota-direct-outreach","","","","","phone: 0476-23-1113 | email: info.meet@c-hotel.co.jp | contactPage: Official and supporting sources","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","High-conversion utility option, useful only after stronger Quiet Arrival targets.","false","quiet-arrival","minshuku","High-confidence real supply, but more utility-led than brand-led."
"CHI-SRC-004","chiba","Narita Airport Rest House","Narita Airport, Chiba","removed-from-active-supply","not-active","remove","","","","hold","","","","","","Do not pursue active onboarding.","","false","quiet-arrival","minshuku","Remove from active sourced supply."
"HAK-SRC-012","hakone","Yama No Chaya","Hakone","sourced","high","medium","","","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","","false","onsen-retreats","ryokan","Luxury traditional ryokan with strong identity and high price point. Use as aspirational anchor."
"HAK-SRC-013","hakone","Hakone Ginyu","Hakone","sourced","high","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","onsen-retreats","ryokan","Premium ryokan with private baths. Extremely strong demand; useful validation listing."
"HAK-SRC-014","hakone","Mikawaya Ryokan","Hakone","sourced","high","high","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","onsen-retreats","ryokan","Historic and mid-range. Good balance of authenticity and accessibility."
"HAK-SRC-015","hakone","Hotel Green Plaza Hakone","Hakone","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","onsen-retreats","ryokan","Mt. Fuji view angle. More commercial but likely high conversion. Stay type may need review because current schema has no hotel/resort option."
"HAK-SRC-016","hakone","Hakone Suishoen","Hakone","sourced","high","medium","","","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","","false","onsen-retreats","ryokan","Modern luxury ryokan. Clean UX and useful benchmark."
"HAK-SRC-017","hakone","Gora Kansuiro","Gora, Hakone","sourced","high","high","tier-1-first-wave","14","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","Historic, quiet, and slightly under-digitized; useful MyYado positioning opportunity.","false","onsen-retreats","ryokan","Historic and quiet. Slightly under-digitized, which may make it a good MyYado fit."
"HAK-SRC-018","hakone","Onsen Ryokan Yusakaso","Hakone","sourced","high","high","tier-2-second-wave","","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","Family-run feel and accessible first-ryokan positioning.","false","onsen-retreats","ryokan","Family-run feel. Good first-ryokan positioning."
"HAK-SRC-019","hakone","Hakone Pax Yoshino","Hakone","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","onsen-retreats","ryokan","Mid-range with good availability; could make booking success easier."
"HAK-SRC-020","hakone","K's House Hakone","Hakone","sourced","high","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","onsen-retreats","minshuku","Foreigner-friendly fallback inventory."
"HAK-SRC-021","hakone","Hakone Retreat Fore","Hakone","sourced","high","high","tier-1-first-wave","8","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Very on-brand forest/design positioning that can help MyYado feel differentiated.","false","onsen-retreats","villa","Design-forward forest stay and very on-brand for MyYado. Stay type may need review because current schema has no design-hotel option."
"HAK-SRC-022","hakone","Hakone Ashinoko Hanaori","Lake Ashi, Hakone","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","onsen-retreats","ryokan","Modern resort with strong Lake Ashi positioning. Stay type may need review because current schema has no resort option."
"HAK-SRC-023","hakone","Livemax Resort Hakone Sengokuhara","Sengokuhara, Hakone","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","onsen-retreats","villa","Multi-unit operator and useful for scaling supply. Stay type may need review because current schema has no resort/multi-unit operator option."
"HAK-CLU-001","hakone","Gora Airbnb villas","Gora, Hakone","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","onsen-retreats","villa","Needed villa layer; source 6-10 across Hakone patterns."
"HAK-CLU-002","hakone","Sengokuhara design homes","Sengokuhara, Hakone","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","onsen-retreats","villa","Needed design-home layer for Hakone."
"HAK-CLU-003","hakone","Lake Ashi view rentals","Lake Ashi, Hakone","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","onsen-retreats","villa","Needed visual identity and view-led rental layer."
"KAM-SRC-005","kamakura","WeBase Kamakura","Kamakura","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","coastal-culture","minshuku","Modern hostel/hotel hybrid with clean UX and likely easy conversion. Stay type may need review."
"KAM-SRC-006","kamakura","Kamakura Park Hotel","Kamakura","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","coastal-culture","minshuku","Classic seaside hotel for older/couple demographic. Stay type may need review."
"KAM-SRC-007","kamakura","Hotel Metropolitan Kamakura","Kamakura","sourced","high","low","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","coastal-culture","minshuku","Polished and central; less unique but reliable. Stay type may need review."
"KAM-SRC-008","kamakura","BIRD HOTEL Kamakura","Kamakura","sourced","high","high","tier-1-first-wave","9","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Strong brand alignment and likely high visual conversion for Coastal Culture.","false","coastal-culture","minshuku","Design-forward boutique with strong brand alignment. Stay type may need review."
"KAM-SRC-009","kamakura","THE HARBOR TERRACE","Kamakura","sourced","high","high","tier-2-second-wave","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","High visual appeal and coastal luxury, but likely harder to convert early.","false","coastal-culture","villa","Coastal luxury with high visual appeal."
"KAM-SRC-010","kamakura","Good Morning Zaimokuza","Zaimokuza, Kamakura","sourced","high","high","tier-1-first-wave","13","","needs-ota-check","","","","","","Confirm OTA presence, then contact around Zaimokuza beach lifestyle positioning.","Beach-facing, lifestyle-led supply that gives Kamakura a clear visual identity.","false","coastal-culture","minshuku","Beach-facing lifestyle positioning."
"KAM-SRC-011","kamakura","Kamakura Guesthouse","Kamakura","sourced","medium","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","coastal-culture","minshuku","Backpacker but authentic; useful inventory layer."
"KAM-CLU-001","kamakura","Yuigahama Airbnb homes","Yuigahama, Kamakura","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","coastal-culture","villa","Design-heavy visual identity driver."
"KAM-CLU-002","kamakura","Hase area traditional homes","Hase, Kamakura","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","coastal-culture","machiya","Traditional-home visual identity driver."
"KAM-CLU-003","kamakura","Zaimokuza beach houses","Zaimokuza, Kamakura","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","coastal-culture","villa","Beach-house visual identity driver."
"NIK-SRC-006","nikko","Okunoin Hotel Tokugawa","Nikko","sourced","high","high","tier-1-first-wave","15","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Premium, cultural, and story-rich; a strong Nikko credibility builder.","false","temple-town-stays","ryokan","Premium and cultural with strong storytelling potential."
"NIK-SRC-007","nikko","Nikko Kanaya Hotel","Nikko","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","temple-town-stays","ryokan","Historic Western-style hotel with good narrative contrast. Stay type may need review because current schema has no historic hotel option."
"NIK-SRC-008","nikko","Hotel Shikisai","near Lake Chuzenji, Nikko","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","mountain-onsen-retreats","ryokan","Modern ryokan-style stay with onsen near Lake Chuzenji. Strong balance of comfort and nature, and likely easier for foreign guests. Assigned to Mountain Onsen Retreats."
"NIK-SRC-009","nikko","Nikko Guesthouse Sumica","Nikko","sourced","high","high","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","minshuku","Very foreigner-friendly and likely easier onboarding."
"NIK-SRC-010","nikko","Little Forest Inn Nikko","Nikko","sourced","high","high","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","minshuku","Quiet, nature-oriented, and good niche appeal."
"NIK-SRC-011","nikko","Nikko Tokanso","Nikko","sourced","high","high","tier-1-first-wave","10","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","Traditional ryokan near shrines with dated positioning; strong MyYado rewrite opportunity.","false","temple-town-stays","ryokan","Traditional ryokan near shrines with good first-time visitor location. Slightly dated UX creates a MyYado opportunity; good balance of authenticity and accessibility."
"NIK-SRC-012","nikko","Hotel Harumoto","Nikko","sourced","high","high","","","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","","false","temple-town-stays","ryokan","Family-run feel and very close to the Toshogu area. Not well-positioned for foreigners, making it a strong MyYado rewrite candidate."
"NIK-SRC-013","nikko","Nikko Akarinoyado Villa Revage","Nikko","sourced","high","high","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","villa","Pension-style stay with private baths and couple-friendly positioning. Already somewhat foreigner-facing and likely high conversion. Current stayType maps to villa as closest fit, but a future pension/lodge option may be better."
"NIK-SRC-014","nikko","Gasthof Ami","Nikko","sourced","medium","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","minshuku","European-style lodge. Niche but memorable, useful for variety. Current stayType maps to minshuku as closest fit, but a future lodge/pension option may be better."
"NIK-SRC-015","nikko","Nikko Pension L'escale","Nikko","sourced","medium","high","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","temple-town-stays","minshuku","Small, cozy pension with strong hidden-stay energy and discovery narrative. Current stayType maps to minshuku as closest fit, but a future pension/lodge option may be better."
"NIK-SRC-016","nikko","Guesthouse KOUNDO","Nikko","sourced","medium","high","","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","","false","temple-town-stays","minshuku","Very small, personal, high-trust guesthouse. Strong fit for MyYado tone."
"NIK-SRC-017","nikko","Nikko Cottage FU-SHA","Nikko","sourced","medium","high","","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","","false","temple-town-stays","villa","Unique cottage stay with strong differentiation. Current stayType maps to villa as closest fit, but a future cottage/lodge option may be better."
"NIK-SRC-018","nikko","Chuzenji Kanaya Hotel","Lake Chuzenji, Nikko","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","mountain-onsen-retreats","ryokan","Historic mountain/lake resort with iconic setting and strong brand story. Not pure ryokan, but a strong stay experience. Current stayType maps to ryokan as closest fit; future hotel/resort taxonomy may be better. Assigned to Mountain Onsen Retreats."
"NIK-SRC-019","nikko","Hatago Nagomi","Lake Chuzenji, Nikko","sourced","high","high","tier-1-first-wave","7","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","Direct lake views, intimate scale, and very strong Mountain Onsen Retreats fit.","false","mountain-onsen-retreats","ryokan","Ryokan-style lakeside stay with direct lake views and intimate scale. Very MyYado-core. Assigned to Mountain Onsen Retreats."
"NIK-SRC-020","nikko","Okunikko Konishi Hotel","Oku-Nikko","sourced","medium","medium","","","mixed-partial-ota","needs-ota-check","","","","","","Check Booking.com, Agoda, Rakuten, and Jalan. If major OTA presence is confirmed, contact directly; otherwise evaluate concierge-first.","","false","mountain-onsen-retreats","ryokan","Small onsen hotel with quiet, nature-focused positioning. Good mid-tier option. Current stayType maps to ryokan as closest fit; future onsen-hotel taxonomy may be better. Assigned to Mountain Onsen Retreats."
"NIK-SRC-021","nikko","Nikko Sansui","Lake Chuzenji, Nikko","sourced","medium","high","","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","","false","mountain-onsen-retreats","ryokan","Lakeside positioning with traditional feel. Needs better storytelling, which is a clear MyYado opportunity. Assigned to Mountain Onsen Retreats."
"NIK-SRC-022","nikko","Nikko Station Hotel Classic","JR Nikko Station, Nikko","sourced","high","medium","tier-2-second-wave","","","needs-ota-check","","","","","","Confirm OTA presence, then evaluate as a utility-led JR Nikko arrival option.","Extremely convenient and international-traveler friendly, but less core to the brand story.","false","temple-town-stays","ryokan","Business-style hotel directly across from JR Nikko Station, with unusually strong arrival convenience and a public bath. Very easy for international travelers. Current stayType maps to ryokan as closest fit because the schema does not yet have station-hotel or onsen-hotel options."
"NIK-SRC-023","nikko","Yumoto Itaya","Yumoto Onsen, Oku-Nikko","sourced","high","high","tier-1-first-wave","11","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","Proper Oku-Nikko onsen ryokan and strong anchor for Mountain Onsen Retreats.","false","mountain-onsen-retreats","ryokan","Proper onsen ryokan deeper in nature above Lake Chuzenji. Not heavily marketed internationally, which makes it a strong MyYado discovery and rewrite opportunity. Assigned to Mountain Onsen Retreats."
"NIK-SRC-024","nikko","Yumoto Onsen Ooruri Sanso","Yumoto Onsen, Oku-Nikko","sourced","high","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","mountain-onsen-retreats","ryokan","Budget ryokan group with likely higher availability. Useful fallback supply for travelers who need booking success more than boutique positioning. Assigned to Mountain Onsen Retreats."
"NIK-SRC-025","nikko","Okunikko Yumoto Onsen Ryokan Kyokoku","Yumoto Onsen, Oku-Nikko","sourced","medium","high","tier-2-second-wave","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","Very under-the-radar traditional Yumoto target, but contact/operations need checking.","false","mountain-onsen-retreats","ryokan","Smaller traditional ryokan and very under-the-radar. Strong MyYado fit if contact and operations can be verified. Assigned to Mountain Onsen Retreats."
"NIK-SRC-026","nikko","Nikko Astraea Hotel","Kirifuri Highlands, Nikko","sourced","medium","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","mountain-onsen-retreats","minshuku","Mountain-lodge style property. Not a classic ryokan, but a strong experience stay for MyYado. Current stayType maps to minshuku as closest fit; future lodge or experience-stay taxonomy may be better. Assigned to Mountain Onsen Retreats."
"NIK-SRC-027","nikko","Hotel Casual Euro","Kirifuri Highlands, Nikko","sourced","medium","medium","","","","needs-ota-check","","","","","","Check Booking.com and Agoda. If present, capture URL and contact operator directly; otherwise evaluate concierge-first.","","false","mountain-onsen-retreats","ryokan","Hybrid-style stay with private baths. Valuable as an experience stay rather than pure ryokan inventory. Current stayType maps to ryokan as closest fit; future private-bath hotel or experience-stay taxonomy may be better. Assigned to Mountain Onsen Retreats."
"NIK-SRC-028","nikko","Kawaji Onsen Ichiryukaku Honkan","Kawaji Onsen, Nikko","sourced","high","medium","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","mountain-onsen-retreats","ryokan","Traditional large ryokan in Kawaji Onsen. Useful for coverage and availability, though likely less boutique than the strongest MyYado-core targets. Assigned to Mountain Onsen Retreats."
"NIK-SRC-029","nikko","Kawaji Onsen Motoyu","Kawaji Onsen, Nikko","sourced","medium","high","","","low-ota-direct-first","concierge-first","","","","","","Confirm a safe direct booking/contact path, then test concierge-first before asking the provider to onboard.","","false","mountain-onsen-retreats","ryokan","Older, authentic onsen stay that likely needs repositioning. Strong MyYado opportunity if the property is active and contactable. Assigned to Mountain Onsen Retreats."
"NIK-CLU-001","nikko","Nikko forest lodges","Nikko","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","temple-town-stays","villa","One of the best MyYado opportunity layers in Nikko."
"NIK-CLU-002","nikko","Nikko river houses","Nikko","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","temple-town-stays","villa","Strong fit for quieter nature stays."
"NIK-CLU-003","nikko","Nikko traditional inns with weak English UX","Nikko","manual-sourcing-cluster","cluster","high","","","","verification-first","","","","","","Identify concrete properties, then classify each one separately.","","false","temple-town-stays","ryokan","Likely strong MyYado opportunity because MyYado can help with trust, translation, and discovery."
"CHI-SRC-005","chiba","International Garden Hotel Narita","Narita, Chiba","sourced","high","low","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","quiet-arrival","minshuku","Reliable mid-range fallback. Utility-led rather than brand-led; stay type may need review because current schema has no hotel option."
"CHI-SRC-006","chiba","Richmond Hotel Narita","Narita, Chiba","sourced","high","low","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","quiet-arrival","minshuku","Clean, business-style, high conversion. Useful fallback but not core brand-led supply; stay type may need review."
"CHI-SRC-007","chiba","Narita U-City Hotel","Narita, Chiba","sourced","high","low","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","quiet-arrival","minshuku","Older but central affordable option. Useful backup inventory; stay type may need review."
"CHI-SRC-008","chiba","Center Hotel Narita","Narita, Chiba","sourced","high","low","","","high-probability-booking-agoda","ota-direct-outreach","","","","","","Capture Booking.com and/or Agoda URL, then find direct operator contact and send onboarding outreach.","","false","quiet-arrival","minshuku","Functional backup inventory. Utility-led; stay type may need review."
